ds	id_user	ds_checkin	ds_checkout	n_searches	n_nights	n_guests_min	n_guests_max	origin_country	filter_price_min	filter_price_max	filter_room_types	filter_neighborhoods
2014-10-01	00fb5de4-9865-420f-bc85-22521121a1ca	2014-10-03	2014-10-05	15	2	2	2	DE	NULL	NULL		
2014-10-01	0133517f-e866-4177-be03-ce27b523be82	2014-11-06	2014-11-10	13	4	1	1	US	0	95	Entire home/apt,Private room,Shared room,Private room,Shared room	
2014-10-01	015df21e-0d83-4725-9b6c-ba8167e132f0	2015-03-05	2015-03-10	9	5	4	4	GB	0	1073741823	,Entire home/apt	
2014-10-01	0187b377-ad1c-4da4-8a17-568b2c9098f4	2015-03-17	2015-03-20	9	3	1	2	CA	0	105		
2014-10-01	0187b377-ad1c-4da4-8a17-568b2c9098f4	2015-03-20	2015-03-24	7	4	1	1	CA	NULL	NULL		
2014-10-01	01887780-4ede-4e25-9aa6-e0349cd7c0c9	NULL	NULL	6	NULL	1	1	US	NULL	NULL		
2014-10-01	01d6c840-83b2-4207-99b1-ffa9eecefa0c	NULL	NULL	3	NULL	1	1	IE	NULL	NULL		
2014-10-01	01ec9817-cc2b-4946-8898-eea3aaf99984	NULL	NULL	2	NULL	1	1	IE	NULL	NULL	,Entire home/apt	
2014-10-01	01ec9817-cc2b-4946-8898-eea3aaf99984	2014-11-01	2014-11-03	6	2	1	9	IE	NULL	NULL	Entire home/apt	
2014-10-01	01f3ba15-13ee-4c48-bec3-36ed2d16453d	2014-10-28	2014-11-01	12	4	5	5	ES	0	225	Entire home/apt	
2014-10-01	01f3ba15-13ee-4c48-bec3-36ed2d16453d	2014-10-28	2014-11-29	6	32	5	5	ES	NULL	NULL	Entire home/apt	
2014-10-01	01f3ba15-13ee-4c48-bec3-36ed2d16453d	2014-11-11	2014-11-15	9	4	5	6	ES	0	175	Entire home/apt	
2014-10-01	01f3ba15-13ee-4c48-bec3-36ed2d16453d	2014-11-11	2014-11-29	1	18	6	6	ES	0	175	Entire home/apt	
2014-10-01	01f3ba15-13ee-4c48-bec3-36ed2d16453d	2014-11-18	2014-11-22	52	4	4	6	ES	0	175	,Entire home/apt	
2014-10-01	01f3ba15-13ee-4c48-bec3-36ed2d16453d	2014-11-18	2014-11-29	1	11	4	4	ES	0	124	Entire home/apt	
2014-10-01	01f3ba15-13ee-4c48-bec3-36ed2d16453d	2014-11-25	2014-11-29	23	4	4	6	ES	0	175	,Entire home/apt	
2014-10-01	02041301-ef15-4c41-b025-6c5cd404350c	NULL	NULL	2	NULL	1	1	ES	NULL	NULL		
2014-10-01	02041301-ef15-4c41-b025-6c5cd404350c	2014-11-12	2014-11-16	2	4	1	1	ES	NULL	NULL	,Entire home/apt	
2014-10-01	02338e7c-f826-42e4-8087-7800fbb11d0a	NULL	NULL	2	NULL	1	2	US	0	90	,Entire home/apt	
2014-10-01	02338e7c-f826-42e4-8087-7800fbb11d0a	2015-04-08	2015-04-10	1	2	2	2	US	0	90	Entire home/apt	
2014-10-01	02349fc8-9d2b-418f-b335-25fdacd2a8ab	NULL	NULL	2	NULL	1	1	AU	NULL	NULL		
2014-10-01	02349fc8-9d2b-418f-b335-25fdacd2a8ab	2015-07-23	2015-07-25	17	2	1	2	AU	NULL	NULL	,Entire home/apt	
2014-10-01	023c8d5f-1a97-4c11-861d-85e17269ef74	2014-10-03	2014-10-06	2	3	1	1	AE	NULL	NULL		
2014-10-01	024493fb-a47b-49d2-9844-cc8ba21d6e02	NULL	NULL	1	NULL	1	1	CA	NULL	NULL		
2014-10-01	024493fb-a47b-49d2-9844-cc8ba21d6e02	2014-10-04	2014-10-05	9	1	1	2	CA	NULL	NULL		
2014-10-01	024493fb-a47b-49d2-9844-cc8ba21d6e02	2014-10-04	2014-10-06	5	2	2	2	CA	NULL	NULL		
2014-10-01	0246d4da-9008-4310-92ef-34f2e8b9ee13	2014-10-16	2014-10-21	18	5	1	1	GB	0	91	Private room	
2014-10-01	027c52d5-f4b7-4ada-aac8-d592c88e1fa0	NULL	NULL	1	NULL	1	1	AU	NULL	NULL		
2014-10-01	027c52d5-f4b7-4ada-aac8-d592c88e1fa0	2014-10-10	2014-10-11	28	1	1	4	AU	0	318	,Entire home/apt	
2014-10-01	027c52d5-f4b7-4ada-aac8-d592c88e1fa0	2014-10-10	2014-10-12	2	2	4	4	AU	0	318	Entire home/apt	
2014-10-01	02b000a8-4afa-41f2-b811-1da3bb88d841	2014-10-16	2014-10-28	25	12	2	2	ES	0	168		
2014-10-01	02b000a8-4afa-41f2-b811-1da3bb88d841	2014-10-16	2014-12-02	1	47	2	2	ES	NULL	NULL		
2014-10-01	02b000a8-4afa-41f2-b811-1da3bb88d841	2014-11-03	2014-12-02	1	29	2	2	ES	NULL	NULL		
2014-10-01	02cafb86-5445-45cc-80f2-405291578356	2014-11-01	2014-11-30	2	29	2	2	IE	NULL	NULL		,North City Central/O'Connell Street,Clontarf
2014-10-01	02d1481f-9277-4823-a0bd-c16afaa10094	2015-07-06	2015-07-09	7	3	4	4	US	0	170	,Entire home/apt	
2014-10-01	034acf8b-056e-483c-9064-735b064bc22a	2014-10-18	2014-10-21	7	3	2	2	GB	0	326		,City Centre
2014-10-01	035ad927-9ccc-40c2-b053-6dca7eaaf98a	NULL	NULL	1	NULL	1	1	CA	NULL	NULL		
2014-10-01	0364158f-ead5-4646-9ec2-82d8c85d88dd	2014-10-02	2014-10-03	9	1	4	4	US	NULL	NULL	,Entire home/apt	
2014-10-01	0365d255-9dac-4539-940a-1b157688e32b	NULL	NULL	4	NULL	1	1	GB	NULL	NULL		
2014-10-01	036a53c8-a74e-407d-b6d2-58bf74412a0c	2015-03-11	2015-03-19	7	8	4	4	IT	0	92	Entire home/apt	
2014-10-01	0385189a-fba8-430d-bc25-0fefed81a9d0	2015-07-06	2015-07-12	2	6	10	10	ES	NULL	NULL	,Entire home/apt	
2014-10-01	038960c2-6875-463a-9cb6-a38126480e17	2014-10-04	2014-10-06	8	2	2	2	IE	NULL	NULL		
2014-10-01	0400ffd0-e87c-4c97-937a-0fbad1904239	2014-10-04	2014-10-06	4	2	1	4	ES	NULL	NULL	Entire home/apt,Private room	
2014-10-01	0404c2fd-3cc7-4019-b052-f3f247632493	NULL	NULL	8	NULL	1	1	IE	0	76	,Private room	
2014-10-01	0404c2fd-3cc7-4019-b052-f3f247632493	2014-10-24	2014-10-26	1	2	1	1	IE	NULL	NULL	Entire home/apt	
2014-10-01	0404c2fd-3cc7-4019-b052-f3f247632493	2014-10-25	2014-10-26	1	1	1	1	IE	NULL	NULL		
2014-10-01	0404c2fd-3cc7-4019-b052-f3f247632493	2014-10-26	2014-10-27	43	1	1	1	IE	0	89	,Entire home/apt,Private room	
2014-10-01	040a6c85-1669-42db-9813-0fcef05c09cb	NULL	NULL	5	NULL	1	1	IT	NULL	NULL	,Entire home/apt,Private room,Private room	
2014-10-01	040a6c85-1669-42db-9813-0fcef05c09cb	2014-10-02	2014-10-10	1	8	1	1	IT	NULL	NULL		
2014-10-01	043e9bcd-ef3e-4478-bf21-3ef4c7598a79	NULL	NULL	2	NULL	1	1	GB	NULL	NULL		
2014-10-01	043e9bcd-ef3e-4478-bf21-3ef4c7598a79	2015-03-19	2015-03-23	3	4	2	2	GB	0	105	Entire home/apt	
2014-10-01	043e9bcd-ef3e-4478-bf21-3ef4c7598a79	2015-03-21	2015-03-24	16	3	2	2	GB	0	130	,Entire home/apt	
2014-10-01	045782ae-8a09-4a56-83b0-60f279657264	2014-12-01	2014-12-10	3	9	1	1	US	NULL	NULL		,City Centre,Ballsbridge,Grafton Street/St. Stephens Green,Temple Bar
2014-10-01	045ef9fe-6e5f-42a4-bf62-f232cb59e2ea	2014-10-17	2014-10-18	4	1	2	2	US	0	70		
2014-10-01	0470223e-41ec-4a59-b1e1-36f668bc8b6c	2014-11-03	2014-11-08	14	5	2	2	US	0	305	,Entire home/apt	
2014-10-01	04d039ba-ca7b-4469-b440-1c7254b1a34f	NULL	NULL	14	NULL	1	3	NL	NULL	NULL	,Entire home/apt	
2014-10-01	05498cbd-fba8-4395-b538-53b5e9236b0b	NULL	NULL	3	NULL	1	1	IE	NULL	NULL		
2014-10-01	05498cbd-fba8-4395-b538-53b5e9236b0b	2014-12-05	2014-12-07	8	2	4	8	IE	NULL	NULL	,Entire home/apt	
2014-10-01	0576a9ce-6e5c-42c1-a27d-24410372885e	NULL	NULL	1	NULL	1	1	IE	NULL	NULL	Entire home/apt,Private room,Shared room	
2014-10-01	0576a9ce-6e5c-42c1-a27d-24410372885e	2014-10-15	2014-10-16	1	1	1	1	IE	NULL	NULL		
2014-10-01	058a65ec-be58-42f5-ae87-2377cad544e5	NULL	NULL	1	NULL	1	1	IE	NULL	NULL		
2014-10-01	058a65ec-be58-42f5-ae87-2377cad544e5	2014-10-04	2014-10-05	4	1	1	1	IE	NULL	NULL	,Entire home/apt	
2014-10-01	05933075-a6f8-470e-b683-bad8ff931c60	2014-11-20	2014-11-23	23	3	2	2	US	0	170		
2014-10-01	05933075-a6f8-470e-b683-bad8ff931c60	2014-11-28	2014-11-30	6	2	2	2	US	0	60		
2014-10-01	05aab24b-9bd9-4c0e-a20a-5e0b8235d972	2014-10-13	2014-11-14	3	32	1	1	IE	NULL	NULL		
2014-10-01	05baba6d-59a9-4bdb-9281-651be0286f73	2014-10-10	2014-10-13	1	3	2	2	GB	NULL	NULL	Entire home/apt	
2014-10-01	05dd7502-61c4-4332-9fea-ac9f82d60745	NULL	NULL	1	NULL	1	1	IE	NULL	NULL		
2014-10-01	05dd7502-61c4-4332-9fea-ac9f82d60745	2014-10-07	2014-10-09	1	2	1	1	IE	NULL	NULL	Entire home/apt	
2014-10-01	05e19dc5-b478-49e6-82a1-9cade5c326a4	NULL	NULL	8	NULL	1	1	RU	NULL	NULL		
2014-10-01	0628d80d-0388-4cde-82f5-5952d1a8520d	2015-07-06	2015-07-09	2	3	2	2	UA	0	50		
2014-10-01	0639d7ee-15d3-4c43-aaa7-fb1b801cc1ef	2014-10-25	2014-10-27	12	2	2	2	IT	0	73	Private room	
2014-10-01	068c3ed6-384f-4322-8769-51519e84e837	2014-10-04	2014-10-05	2	1	2	2	IE	NULL	NULL		
2014-10-01	06a48705-f816-4373-87b2-7083f97fd389	2014-10-04	2014-10-05	30	1	1	1	AR	111	1073741823		
2014-10-01	06a855d9-d22b-4a2f-a892-0a3520adbb6c	2014-10-23	2014-10-24	6	1	3	3	FR	0	99		
2014-10-01	06c60dcc-3f61-4ac6-a55d-bd2594e80e48	2014-10-17	2014-10-22	67	5	1	3	ES	0	320	,Entire home/apt,Entire home/apt,Private room	
2014-10-01	06ea8940-76fd-44ba-a860-fdd141b76dae	2015-04-17	2015-04-19	9	2	2	16	GB	NULL	NULL	,Entire home/apt,Entire home/apt,Private room,Private room	
2014-10-01	0774c881-1a49-4e48-8ea9-07993ea6160b	NULL	NULL	2	NULL	1	5	US	NULL	NULL		
2014-10-01	0774c881-1a49-4e48-8ea9-07993ea6160b	2014-11-14	2014-11-19	6	5	1	10	US	NULL	NULL	,Entire home/apt	
2014-10-01	0774c881-1a49-4e48-8ea9-07993ea6160b	2014-11-14	2014-11-23	1	9	1	1	US	NULL	NULL		
2014-10-01	0774c881-1a49-4e48-8ea9-07993ea6160b	2014-11-15	2014-11-19	4	4	5	8	US	NULL	NULL		
2014-10-01	0778b181-6e47-461f-9113-56c3b8da854a	NULL	NULL	1	NULL	1	1	TR	NULL	NULL		
2014-10-01	078b0a93-cdb5-437a-bc2e-de70265e71d2	2014-10-06	2014-10-08	6	2	1	1	IE	0	769	,Private room	
2014-10-01	078b0a93-cdb5-437a-bc2e-de70265e71d2	2014-10-07	2014-10-08	3	1	1	1	IE	0	61	Private room	
2014-10-01	078b0a93-cdb5-437a-bc2e-de70265e71d2	2014-10-07	2014-10-09	7	2	1	1	IE	0	42	,Private room	
2014-10-01	07dc29c6-265f-4cf4-8670-f3cbd6ec3dcf	NULL	NULL	1	NULL	1	1	GB	NULL	NULL		
2014-10-01	07dc29c6-265f-4cf4-8670-f3cbd6ec3dcf	2014-12-29	2015-01-01	2	3	1	2	GB	NULL	NULL	,Entire home/apt	
2014-10-01	07df0eb6-815a-48eb-ae86-0178c16383e9	NULL	NULL	3	NULL	1	1	SE	NULL	NULL	,Entire home/apt	
2014-10-01	07e99895-cb92-4c37-bd73-dbbb6710c152	2015-01-19	2015-01-22	19	3	1	1	ES	0	402	,Private room	
2014-10-01	0848dc1f-2d95-490a-b95e-e9543edfa48d	NULL	NULL	2	NULL	1	1	FR	NULL	NULL		
2014-10-01	0848dc1f-2d95-490a-b95e-e9543edfa48d	2014-11-21	2014-11-30	16	9	1	4	FR	0	201		
2014-10-01	084cfdb6-94a5-40e4-a227-36e663e71a55	2015-04-16	2015-04-27	11	11	1	1	AU	0	119	,Entire home/apt	
2014-10-01	0865ea79-7795-4559-898b-00783ab2fc1f	NULL	NULL	1	NULL	1	1	GB	NULL	NULL		
2014-10-01	0865ea79-7795-4559-898b-00783ab2fc1f	2014-10-27	2014-10-30	6	3	4	4	GB	NULL	NULL	Entire home/apt	
2014-10-01	087fc79c-fdea-49b7-8c73-e662d2cf0ff2	2014-10-20	2014-10-23	10	3	2	2	FR	0	409		
2014-10-01	089392fb-72ce-4e38-9d19-dc849a731a89	NULL	NULL	4	NULL	5	5	US	NULL	NULL	,Entire home/apt	
2014-10-01	08c73b57-9bc9-436a-94c5-66c5c168abc6	NULL	NULL	1	NULL	1	1	GB	NULL	NULL		
2014-10-01	08eced5f-31fd-4072-9a70-4984c4e94ca5	2015-01-03	2015-02-01	3	29	2	2	GB	NULL	NULL	Entire home/apt	
2014-10-01	09173e4d-7058-4972-9495-9cc9396fa74a	NULL	NULL	6	NULL	1	1	GB	0	148		
2014-10-01	09173e4d-7058-4972-9495-9cc9396fa74a	2015-02-13	2015-02-17	3	4	1	2	GB	0	148	,Entire home/apt	
2014-10-01	09199e03-b8e1-4acb-bdf7-916946610457	2014-11-03	2014-11-07	7	4	1	3	FI	0	156	Entire home/apt	
2014-10-01	0923edd8-227c-4314-b2e4-be49d2eeaaaf	2015-09-01	2015-09-03	8	2	3	3	US	0	110		
2014-10-01	09811953-810b-40e7-9d00-566e76bc4d85	NULL	NULL	1	NULL	1	1	FR	NULL	NULL		
2014-10-01	09811953-810b-40e7-9d00-566e76bc4d85	2014-10-22	2014-10-28	105	6	1	3	FR	NULL	NULL	,Entire home/apt	
2014-10-01	09997c69-3973-4f23-992b-9a264593744a	NULL	NULL	6	NULL	1	3	IT	0	377		
2014-10-01	09997c69-3973-4f23-992b-9a264593744a	2014-10-04	2014-10-06	10	2	1	3	IT	0	1073741823		
2014-10-01	09c2b723-cd42-416d-b65d-e6db76654d37	2014-11-25	2014-12-30	17	35	1	1	ES	NULL	NULL	Private room	
2014-10-01	09c8abb3-738f-4f9c-94fd-19d555dc20ac	NULL	NULL	4	NULL	1	1	NL	0	67		
2014-10-01	09fbaa96-1dc0-4c3d-9f61-3b12a7ac01da	2014-12-12	2014-12-13	1	1	4	4	IE	NULL	NULL	Entire home/apt	
2014-10-01	0aae0329-c4c1-4494-aa57-c8f002db7a98	2014-12-26	2014-12-30	201	4	2	2	AT	0	143	,Entire home/apt	
2014-10-01	0ab14197-94a1-46f1-ad96-c3a2f1830e00	2015-02-01	2015-03-31	2	58	1	1	IT	NULL	NULL		
2014-10-01	0ac5c2ee-c9b4-4254-b029-61be81d1ad18	2014-11-05	2014-11-06	1	1	4	4	BR	0	76		
2014-10-01	0ac5c2ee-c9b4-4254-b029-61be81d1ad18	2015-02-14	2015-02-18	24	4	2	4	BR	0	1073741823	,Entire home/apt,Entire home/apt,Shared room,Shared room	
2014-10-01	0af111c8-fe07-46e0-b037-0c48f2fc9d54	2014-10-29	2014-11-02	8	4	2	2	CL	0	1073741823		
2014-10-01	0af111c8-fe07-46e0-b037-0c48f2fc9d54	2014-10-30	2014-11-02	3	3	2	2	CL	0	50		
2014-10-01	0b2cf180-8b33-4065-bae4-a2c0d337ae13	NULL	NULL	2	NULL	1	1	RU	588	1073741823		
2014-10-01	0b42db7d-a06e-494c-9407-78b040a8f390	NULL	NULL	1	NULL	1	1	GB	NULL	NULL		
2014-10-01	0b42db7d-a06e-494c-9407-78b040a8f390	2015-07-17	2015-07-20	6	3	1	16	GB	NULL	NULL	,Entire home/apt	
2014-10-01	0b49edd0-616d-47ac-8488-de6804b604dd	NULL	NULL	1	NULL	1	1	IE	NULL	NULL		
2014-10-01	0b5320da-c03a-48fa-a331-6f0fee4ec5ee	2014-11-18	2014-11-25	6	7	2	2	FR	0	80		
2014-10-01	0b5320da-c03a-48fa-a331-6f0fee4ec5ee	2014-11-19	2014-11-24	10	5	2	2	FR	0	92		
2014-10-01	0b5320da-c03a-48fa-a331-6f0fee4ec5ee	2014-11-21	2014-11-22	6	1	1	2	FR	0	54		
2014-10-01	0b5320da-c03a-48fa-a331-6f0fee4ec5ee	2014-11-22	2014-11-24	2	2	2	2	FR	0	48		
2014-10-01	0b5320da-c03a-48fa-a331-6f0fee4ec5ee	2014-11-23	2014-11-24	1	1	2	2	FR	0	48		
2014-10-01	0b5320da-c03a-48fa-a331-6f0fee4ec5ee	2014-11-23	2014-11-25	1	2	2	2	FR	0	48		
2014-10-01	0b5dc463-aaba-4a4e-8225-248516dfe6a9	2014-10-30	2014-11-02	16	3	3	3	DE	0	240		
2014-10-01	0b5dc463-aaba-4a4e-8225-248516dfe6a9	2014-10-30	2014-11-03	38	4	1	3	DE	0	240	,Entire home/apt,Private room	
2014-10-01	0b7559bd-b004-4d12-8b46-bd0a5c7cafeb	2014-10-09	2014-10-10	22	1	1	2	US	0	187		
2014-10-01	0b7559bd-b004-4d12-8b46-bd0a5c7cafeb	2014-10-09	2014-10-12	4	3	2	2	US	0	187		
2014-10-01	0b836222-4905-405d-9056-3f09cfc82f9e	2014-11-20	2014-11-24	48	4	2	2	AR	0	220	Entire home/apt,Entire home/apt,Private room	
2014-10-01	0be9c15d-d81b-4a3e-92bf-7a5a358973fb	2014-10-30	2014-11-01	1	2	2	2	ES	0	73		
2014-10-01	0bee68c2-c43c-43d8-944a-49ef5e690d7c	2015-03-21	2015-03-24	23	3	1	6	FR	0	263	,Entire home/apt	,City Centre
2014-10-01	0c01cff0-7511-4f2f-8d96-bc407904ced4	NULL	NULL	2	NULL	1	1	AU	NULL	NULL		
2014-10-01	0c250dd0-8b0c-47cb-86bf-b1a494ba3354	2014-10-11	2014-11-10	14	30	1	1	AT	NULL	NULL		
2014-10-01	0c250dd0-8b0c-47cb-86bf-b1a494ba3354	2014-10-18	2014-11-10	3	23	1	1	AT	NULL	NULL		
2014-10-01	0c250dd0-8b0c-47cb-86bf-b1a494ba3354	2014-10-18	2014-11-11	2	24	1	1	AT	NULL	NULL		
2014-10-01	0c325646-f893-41c9-b72b-55f56a6730d9	2014-10-10	2014-10-13	12	3	4	4	FR	0	156	,Entire home/apt	
2014-10-01	0c6cfd0c-1a5c-4c18-839a-fd1ab9d959d2	NULL	NULL	47	NULL	1	1	IE	0	725	,Private room	
2014-10-01	0c7cc9bb-4c8f-4233-b520-f4ab9588e4e3	2014-11-15	2014-11-19	3	4	1	2	DE	0	61	Private room	
2014-10-01	0cb1e5cf-6df9-49ec-94a5-7ebe35681f35	2015-05-15	2015-05-17	31	2	6	6	GB	0	310		
2014-10-01	0ccf9358-34e9-4f95-9b3c-5455c9f7cc6b	NULL	NULL	7	NULL	1	1	SI	NULL	NULL		
2014-10-01	0ccf9358-34e9-4f95-9b3c-5455c9f7cc6b	2014-11-04	2014-11-07	108	3	1	4	SI	0	178		
2014-10-01	0d2f5ae1-a490-4f38-acfb-f809b3a68015	NULL	NULL	9	NULL	2	2	IE	NULL	NULL		
2014-10-01	0d2f5ae1-a490-4f38-acfb-f809b3a68015	2014-10-05	2014-10-08	41	3	2	2	IE	0	100	,Entire home/apt,Private room,Private room,Shared room,Shared room	,Ranelagh and Rathmines
2014-10-01	0d35e344-35bf-4a27-8d53-402bfa01ef79	NULL	NULL	1	NULL	1	1	GB	NULL	NULL		
2014-10-01	0d35e344-35bf-4a27-8d53-402bfa01ef79	2015-02-28	2015-03-02	4	2	1	4	GB	NULL	NULL		
2014-10-01	0d9954e6-6c7a-47f4-b1b9-7bf03bc82545	2014-10-18	2015-02-22	1	127	1	1	IE	NULL	NULL		
2014-10-01	0dd77cb6-d796-47c7-b417-5fc5e3f506b1	NULL	NULL	2	NULL	4	4	US	0	250		
2014-10-01	0de31a75-171b-4f4f-a075-d9304d922af0	2014-11-02	2014-11-08	5	6	2	2	IE	NULL	NULL	,Entire home/apt	
2014-10-01	0ded71fb-ce94-4e88-918e-0bcbd023b1d9	NULL	NULL	12	NULL	1	1	ES	NULL	NULL		
2014-10-01	0def9040-481b-4d72-af7a-3f93948ffa00	NULL	NULL	4	NULL	1	1	IE	NULL	NULL		
2014-10-01	0e224102-3559-41e1-89a9-318328a347fc	NULL	NULL	1	NULL	1	1	GB	NULL	NULL		
2014-10-01	0e224102-3559-41e1-89a9-318328a347fc	2014-12-30	2015-01-02	2	3	1	16	GB	NULL	NULL		
2014-10-01	0e4841b7-bd19-49cb-97bd-74251052a0f3	2014-10-18	2014-10-20	1	2	2	2	FR	NULL	NULL	Entire home/apt	
2014-10-01	0e5044e1-e46a-4d67-914a-93f3b1c41c40	2014-12-20	2014-12-21	16	1	1	1	GB	NULL	NULL	Entire home/apt	
2014-10-01	0ee44fa6-f019-4e98-892c-73af9ee2f57a	2014-11-07	2014-11-10	2	3	2	2	GB	0	123	Entire home/apt	
2014-10-01	0eff308b-e874-4b54-bafc-f5e3d1d10d3b	NULL	NULL	1	NULL	2	2	IE	0	119	Entire home/apt	
2014-10-01	0f03c618-9597-4a3a-b309-4a0d33749c1f	2014-10-03	2014-10-05	22	2	1	1	FR	0	1073741823	Private room,Private room,Shared room	
2014-10-01	0f3d8d52-d1ad-4e00-8b4e-f0b490dcb8bf	2014-10-01	2014-10-06	8	5	2	3	FR	0	230	Entire home/apt,Private room,Private room,Entire home/apt	
2014-10-01	0f4ea370-702c-4f08-a00d-98e67c2a3574	NULL	NULL	2	NULL	1	1	US	NULL	NULL		
2014-10-01	0f4ea370-702c-4f08-a00d-98e67c2a3574	2014-10-10	2014-10-12	16	2	6	8	US	0	345	,Entire home/apt	
2014-10-01	0f4ea370-702c-4f08-a00d-98e67c2a3574	2014-10-10	2014-10-13	43	3	3	8	US	0	320	Entire home/apt,Entire home/apt,Shared room	
2014-10-01	0f69118d-9c07-4403-bbcb-95180e244578	2014-12-30	2015-01-02	6	3	2	2	PT	0	85	Entire home/apt,Private room	
2014-10-01	0f8142b9-52fc-43ff-8bbc-60567c17ebce	2014-10-03	2014-10-09	23	6	1	1	HU	NULL	NULL	Entire home/apt,Private room	
2014-10-01	0fffae4e-63a6-4c5f-844b-f294b573c495	NULL	NULL	2	NULL	1	1	IE	NULL	NULL		
2014-10-01	10175000-3c00-4d60-b743-69946ce76430	2014-10-27	2014-10-30	12	3	4	4	GB	NULL	NULL		
2014-10-01	101e0868-7f6c-40c9-86c7-9a33752abf6b	NULL	NULL	1	NULL	1	1	US	NULL	NULL		
2014-10-01	101e0868-7f6c-40c9-86c7-9a33752abf6b	2014-10-04	2014-10-05	11	1	5	5	US	NULL	NULL		
2014-10-01	103dbd20-c115-49b9-bae9-3b83e6aced76	NULL	NULL	4	NULL	1	1	SG	NULL	NULL		
2014-10-01	103dbd20-c115-49b9-bae9-3b83e6aced76	2014-11-22	2014-11-24	5	2	1	1	SG	0	89	,Private room	
2014-10-01	104f6b5d-119f-4e66-93ad-840ec7bef874	NULL	NULL	3	NULL	1	1	IE	NULL	NULL		
2014-10-01	104f6b5d-119f-4e66-93ad-840ec7bef874	2014-10-29	2014-10-31	1	2	1	1	IE	NULL	NULL		
2014-10-01	104f6b5d-119f-4e66-93ad-840ec7bef874	2014-11-14	2014-11-16	9	2	1	1	IE	NULL	NULL		
2014-10-01	104f6b5d-119f-4e66-93ad-840ec7bef874	2014-11-14	2014-11-30	1	16	1	1	IE	NULL	NULL		
2014-10-01	104f6b5d-119f-4e66-93ad-840ec7bef874	2014-11-21	2014-11-23	1	2	1	1	IE	NULL	NULL		
2014-10-01	104f6b5d-119f-4e66-93ad-840ec7bef874	2014-11-28	2014-11-30	1	2	1	1	IE	NULL	NULL		
2014-10-01	10a34e13-c5d4-421a-aa46-37d8ff7e7cfe	2014-12-03	2014-12-21	6	18	1	1	IE	NULL	NULL		
2014-10-01	10bbb3aa-02e6-460b-9203-9dffe4f5ce25	2014-12-29	2015-01-02	6	4	1	5	DE	0	137		
2014-10-01	10be8d76-4af2-4c83-84c2-42c769d316b7	NULL	NULL	1	NULL	1	1	US	NULL	NULL	Entire home/apt	
2014-10-01	10be8d76-4af2-4c83-84c2-42c769d316b7	2015-01-09	2015-01-18	10	9	1	2	US	0	149	Entire home/apt	
2014-10-01	10be8d76-4af2-4c83-84c2-42c769d316b7	2015-01-10	2015-01-18	1	8	1	1	US	NULL	NULL	Entire home/apt	
2014-10-01	10c40453-73b5-4865-adea-1fcb2c065fc2	2014-12-01	2014-12-07	33	6	2	2	IT	0	263		
2014-10-01	10d77aad-baaf-48e9-953e-6040729eaaed	2014-10-03	2014-10-13	7	10	1	1	ES	0	70		,City Centre
2014-10-01	10e2e21d-b241-420d-8574-3d6b641688b0	2014-11-04	2014-11-06	2	2	2	2	DE	0	162		
